Geneid	Uniprot_annotation	Interproscan_annotation	GO_term	KEGG_annotation
LDECv5g00394	Protein TEX261; Homo sapiens	Transmembrane adaptor Erv26|Svp26/Tex261	GO:0006888, GO:0016020, GO:0097020, GO:0000139, GO:0005789, GO:0030134, GO:0008150, GO:0098588, GO:0005575, GO:0043227, GO:0031090, GO:0043226, GO:0051179, GO:0140312, GO:0065007, GO:0051641, GO:0005798, GO:0043229, GO:0097708, GO:0043231, GO:0031410, GO:0050789	NA
LDECv5g00395	Intraflagellar transport protein 46 homolog; Danio rerio	Intraflagellar transport complex B protein 46 C terminal|Intraflagellar transport complex B protein 46	GO:0042073, GO:0005815, GO:0030992, GO:0031514, GO:0060271, GO:0008150, GO:0005575, GO:0003674, GO:0009987, GO:0065007, GO:0033036, GO:0098772	K19682
LDECv5g00396	NA	NA	NA	NA
LDECv5g00397	NA	NA	GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0043227, GO:0050789, GO:0050794, GO:0043226, GO:0005634, GO:0003674, GO:0043231, GO:0016020, GO:0043229, GO:0019222, GO:0030234, GO:0080090, GO:0048518	NA
LDECv5g00398	NA	NA	GO:0005575, GO:0008150, GO:0043229, GO:0043227, GO:0043226, GO:0005737, GO:0016043	NA
LDECv5g00399	NA	Protein kinase-like (PK-like)|Protein kinase-like domain superfamily|121neu2hmm|CHK kinase-like|Ecdysteroid kinase-like family|Ecdysteroid kinase-like	GO:0003824, GO:0140096, GO:0043167, GO:0003674, GO:0009987, GO:0008150, GO:0046872, GO:0005488, GO:0043169, GO:0016740	NA
LDECv5g00400	F-box/LRR-repeat protein 6; Homo sapiens	F-box and leucine-rich repeat protein 6|F-box domain|F-box-like domain superfamily|Ribonuclease Inhibitor|Leucine-rich repeat domain superfamily|RNI-like|F-box-like|F-box domain|F-box_FBXL6|F-box/LRR-repeat protein 6, F-box domain|LRR_CC_2|Leucine-rich repeat, cysteine-containing subtype	GO:0005515, GO:0019005, GO:0031146, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0043231, GO:0043170, GO:0019538, GO:0032991, GO:0050789, GO:0050794, GO:0060255, GO:0003674, GO:0048519, GO:0019222, GO:0005634, GO:0005488, GO:1902494, GO:0043227, GO:0051726, GO:0043229, GO:0030163, GO:0009057, GO:0048518, GO:0043161, GO:0036211, GO:0010498, GO:0033043, GO:1990234	K10272
LDECv5g00401	E3 ubiquitin-protein ligase UBR4; Mus musculus	ARM repeat|Armadillo-type fold|Putative zinc finger in N-recognin (UBR box)|Zinc finger, UBR-type|UBR-box_UBR4|E3 ubiquitin-protein ligase UBR4-like, UBR-box|E3 ubiquitin-protein ligase UBR4-like domain|push_1|Zinc finger, UBR-type|E3 ubiquitin-protein ligase UBR4 N-terminal|E3 ubiquitin-protein ligase UBR4, N-terminal|Zinc finger UBR-type profile.|Zinc finger, UBR-type|E3 ubiquitin-protein ligase UBR4|E3 ubiquitin ligase UBR4, C-terminal|UBR4 E3 catalytic module profile.	GO:0008270, GO:0005488, GO:0065007, GO:0008150, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0003674, GO:0050789, GO:0043167, GO:0046872, GO:0005515, GO:0050794, GO:0043169, GO:0048583, GO:0032501, GO:0019899, GO:0008152, GO:0051020	K10691
LDECv5g00402	Protein vav; Drosophila melanogaster	Dbl homology (DH) domain|Dbl homology (DH) domain superfamily|Dbl homology (DH) domain profile.|Dbl homology domain|RhoGEF|Dbl homology domain|DBL homology domain (DH-domain)|Dbl homology (DH) domain superfamily|Src homology 3 (SH3) domain profile.|SH3 domain|SOS1/NGEF-like PH domain|SOS1/NGEF-like, PH domain|RhoGEF_3|Dbl homology domain|PH domain-like|SH3|SH3 Domains|PH_update|Pleckstrin homology domain|C1_VAV|SH2_5|SH2 domain|SH2 domain|CH_VAV|PH_Vav|Vav, PH domain|Src homology 2 (SH2) domain profile.|SH2 domain|ch_5|Calponin homology domain|RhoGEF domain|Dbl homology domain|Calponin-homology domain, CH-domain|CH domain superfamily|SH2 domain|SH2 domain superfamily|c1_12|Protein kinase C-like, phorbol ester/diacylglycerol-binding domain|Phorbol esters/diacylglycerol binding domain (C1 domain)|Protein kinase C-like, phorbol ester/diacylglycerol-binding domain|CH domain superfamily|Calponin homology (CH) domain|Calponin homology domain|Zinc finger phorbol-ester/DAG-type profile.|Protein kinase C-like, phorbol ester/diacylglycerol-binding domain|PH-like domain superfamily|Zinc finger phorbol-ester/DAG-type signature.|Protein kinase C-like, phorbol ester/diacylglycerol-binding domain|Calponin homology (CH) domain profile.|Calponin homology domain|SH3-domain|SH3-like domain superfamily	GO:0005085, GO:0005515, GO:0005737, GO:0016477, GO:0043087, GO:0005488, GO:0065007, GO:0008150, GO:0043169, GO:0071840, GO:0009987, GO:0005575, GO:0019899, GO:0002252, GO:0002376, GO:0043167, GO:0046872, GO:0003674, GO:0050789, GO:0050794, GO:0002682, GO:0002684, GO:0016043, GO:0043229, GO:0016020, GO:0043231, GO:0043226, GO:0043227, GO:0032535, GO:0006996, GO:0065008, GO:0051607, GO:0006955, GO:0051020	K05730
LDECv5g00403	Retinoblastoma-binding protein 5 homolog; Drosophila melanogaster	WD domain, G-beta repeat|WD40 repeat|Trp-Asp (WD) repeats circular profile.|Trp-Asp (WD) repeats profile.|WD40 repeat|WD40 repeat-like|WD40-repeat-containing domain superfamily|Trp-Asp (WD) repeats signature.|WD40 repeat, conserved site|WD40/YVTN repeat-like-containing domain superfamily|WD40_4|WD40 repeat	GO:0048188, GO:0005515, GO:0008150, GO:0009987, GO:0044403, GO:0016032, GO:0003674, GO:0005488, GO:0071840, GO:0032991, GO:0044419, GO:0016043, GO:0065007, GO:0005575	NA
LDECv5g00404	Phosrestin-1; Drosophila melanogaster	Arrestin, N-terminal|Arrestin signature|Arrestin|E set domains|Immunoglobulin E-set	GO:0007165, GO:0001664, GO:0002031, GO:0005737, GO:0005575, GO:0043226, GO:0043227, GO:0043231, GO:0043229, GO:0008150, GO:0005634	NA
LDECv5g00405	14 kDa phosphohistidine phosphatase; Bos taurus	PHP14-like|Janus/Ocnus family (Ocnus)|Janus|Janus/Ocnus|Janus superfamily|14 kDa phosphohistidine phosphatase	GO:0005829, GO:0035971, GO:0101006, GO:0008150, GO:0005575, GO:0005488, GO:0003674, GO:0043231, GO:0008233, GO:0043227	K01112
LDECv5g00406	Phosrestin-2; Drosophila melanogaster	E set domains|Immunoglobulin E-set|Arrestin-like, C-terminal domain superfamily	GO:0001664, GO:0002031, GO:0005737, GO:0007165	NA
LDECv5g00407	Pseudouridylate synthase TRUB2, mitochondrial; Homo sapiens	Pseudouridine synthase|Pseudouridine synthase, catalytic domain superfamily|Pseudouridine synthase|TruB family pseudouridylate synthase (N terminal domain)|Pseudouridine synthase II, N-terminal	GO:0001522, GO:0003723, GO:0009451, GO:0009982, GO:0006396, GO:0050789, GO:0043170, GO:0003674, GO:0003824, GO:0050794, GO:0009755, GO:0048523, GO:0044238, GO:0065007, GO:1901700	K23497
LDECv5g00408	NA	Chitin-binding type R&R domain profile.|Insect cuticle protein|Insect cuticle protein	GO:0008010, GO:0062129, GO:0065007, GO:0008150, GO:0005575, GO:0003674, GO:0032501, GO:0050789, GO:0050794, GO:0048583, GO:0048518, GO:0006952, GO:0023051, GO:0009966, GO:0010646, GO:0005102, GO:0005488, GO:0048584	NA
LDECv5g00409	NA	NA	GO:0001906, GO:0005575, GO:0005576, GO:0044419, GO:0031640, GO:0035821, GO:0051707, GO:0050832, GO:0009607, GO:0098542, GO:0043207, GO:0009605, GO:0008150	NA
LDECv5g00410	Midasin; Giardia intestinalis	NA	GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0042592, GO:0050789, GO:0050794, GO:0046058, GO:0016043, GO:0003824, GO:0005815, GO:0071840, GO:0016840, GO:0003674, GO:0048878, GO:0043226	NA
LDECv5g00411	Probable RNA-directed DNA polymerase from transposon X-element; Drosophila melanogaster	Rnase_HI_RT_non_LTR|RNase H|Ribonuclease H domain|Reverse transcriptase (RNA-dependent DNA polymerase)|Reverse transcriptase domain|Ribonuclease H superfamily|Ribonuclease H-like|Ribonuclease H-like superfamily|Endonuclease/exonuclease/phosphatase|Endonuclease/exonuclease/phosphatase superfamily|RNase H type-1 domain profile.|Ribonuclease H domain|RT_nLTR_like|Reverse transcriptase (RT) catalytic domain profile.|Reverse transcriptase domain|DNA/RNA polymerases|DNA/RNA polymerase superfamily|Endonuclease-reverse transcriptase|Endonuclease/exonuclease/phosphatase|DNase I-like|Endonuclease/exonuclease/phosphatase superfamily	GO:0003676, GO:0004523, GO:0003824, GO:0008150, GO:0016779, GO:0003674, GO:0016772, GO:0003964, GO:0034061, GO:0008233, GO:0050789, GO:0005575, GO:0005488, GO:0065007, GO:0019222, GO:0022414	NA
LDECv5g00412	NA	NA	GO:0008150, GO:0019725, GO:0005575, GO:0003674, GO:0005488	NA
LDECv5g00413	NA	NA	GO:0008150, GO:0001906, GO:0005575, GO:0006952, GO:0050832, GO:0098542, GO:0005576, GO:0044419, GO:0031640, GO:0035821, GO:0009607, GO:0043207, GO:0051707, GO:0050896, GO:0003674, GO:0006950, GO:0009620, GO:0009605	NA
LDECv5g00414	NA	NA	GO:0005575, GO:0006952, GO:0042742, GO:0098542, GO:0005576, GO:0003674, GO:0009617, GO:0009607, GO:0043207, GO:0051707, GO:0050896, GO:0008150, GO:0006950, GO:0009605	NA
LDECv5g00415	Putative nuclease HARBI1; Rattus norvegicus	Putative nuclease HARBI1 signature|Harbinger transposase-derived nuclease, animal|DDE superfamily endonuclease|Harbinger transposase-derived nuclease domain	GO:0003674, GO:0008150, GO:0005575	K23222
LDECv5g00416	Retrovirus-related Pol polyprotein from transposon 297; Drosophila melanogaster	DNA/RNA polymerases|DNA/RNA polymerase superfamily|Acid Proteases|Aspartic peptidase domain superfamily|HIV Type 1 Reverse Transcriptase, subunit A, domain 1|Acid proteases|Aspartic peptidase domain superfamily	NA	NA
LDECv5g00417	NA	NA	GO:0008150, GO:0005575, GO:0043226, GO:0032991, GO:0043229, GO:0043232, GO:1990904, GO:0043228, GO:0043227	NA
LDECv5g00418	NA	NA	GO:0043227, GO:0043226, GO:0005575, GO:0003674, GO:0043229	NA
LDECv5g00419	NA	NA	GO:0005575, GO:0005576, GO:0090729, GO:0003674	NA
LDECv5g00420	NA	NA	GO:0005575, GO:0005576, GO:0003674, GO:0090729	NA
LDECv5g00421	NA	NA	GO:0005575, GO:0005576, GO:0090729, GO:0003674	NA
LDECv5g00422	Luciferin 4-monooxygenase; Photuris pensylvanica	AMP-binding enzyme domain superfamily|AMP-binding enzyme C-terminal domain|AMP-binding enzyme, C-terminal domain|4-coumarate--CoA ligase 2|Firefly_Luc_like|AMP-binding enzyme|AMP-dependent synthetase/ligase domain|Putative AMP-binding domain signature.|AMP-binding, conserved site|Luciferase; Domain 3|Acetyl-CoA synthetase-like	GO:0016405, GO:0030554, GO:0032559, GO:0005488, GO:0008150, GO:0003824, GO:0005575, GO:1901363, GO:0016874, GO:0016877, GO:0003674, GO:1901265, GO:0000166, GO:0009698, GO:0017076, GO:0032555, GO:0036094, GO:0043168, GO:0009987, GO:0016020, GO:0042579, GO:0044281, GO:0016878, GO:0035639, GO:0032553, GO:0008152, GO:0043167, GO:0005524, GO:0005886, GO:0044283, GO:0015645, GO:0004467	K01904
LDECv5g00423	Histone deacetylase complex subunit SAP18; Drosophila melanogaster	Histone deacetylase complex subunit SAP18|Sin3 associated polypeptide p18 (SAP18)|Sin3 associated polypeptide p18|ASAP complex, SAP18 subunit|Sin3 associated polypeptide p18 superfamily	GO:0003714, GO:0005634, GO:0008134, GO:0045892, GO:0065007, GO:0008150, GO:0050789, GO:0050794, GO:0009987, GO:0019222, GO:0005575, GO:0005488, GO:0003674, GO:0006950, GO:0050896, GO:0051147, GO:0048869	K14324
LDECv5g00424	Large ribosomal subunit protein mL65; Bos taurus	Mitochondrial 28S ribosomal protein S30 (PDCD9)|Large ribosomal subunit protein mL37/mL65	GO:0003735, GO:0005739, GO:0005840, GO:0006412, GO:0005762, GO:0005488, GO:0065007, GO:0008150, GO:0009987, GO:0005575, GO:0043231, GO:0043229, GO:0043227, GO:0008152, GO:0003674, GO:0043226, GO:0003824, GO:0006396, GO:0044238, GO:0043167, GO:0006082, GO:1901363	K17409
LDECv5g00425	SMAD family member 6; Homo sapiens	MH1_SMAD_6_7|MH2 domain|SMAD domain|dwBultra2|SMAD domain|MAD homology domain 1 (MH1) profile.|MAD homology, MH1|dwAneu5|MAD homology 1, Dwarfin-type|SMAD MH1 domain|SMAD MH1 domain superfamily|SMAD/FHA domain|SMAD/FHA domain superfamily|MAD homology domain 2 (MH2) profile.|SMAD domain|SMAD-like domain superfamily|MH1 domain|MAD homology 1, Dwarfin-type	GO:0006355, GO:0005667, GO:0006357, GO:0009653, GO:0030154, GO:0060395, GO:0070411, GO:0071144, GO:0140416, GO:0005515, GO:0065007, GO:0008150, GO:0009987, GO:0050789, GO:0050793, GO:0006950, GO:0071840, GO:0016043, GO:0050794, GO:0000775, GO:0048519, GO:0050896, GO:0051301, GO:0005575, GO:0065008	K04677
LDECv5g00426	Xylulose kinase; Homo sapiens	FGGY family of carbohydrate kinases, N-terminal domain|Carbohydrate kinase FGGY, N-terminal|Actin-like ATPase domain|ATPase, nucleotide binding domain|Xylulose kinase 2|FGGY family of carbohydrate kinases, C-terminal domain|Carbohydrate kinase FGGY, C-terminal|ASKHA_NBD_FGGY_SpXK-like|D-xylulose kinase|GlpK|Carbohydrate kinase, FGGY	GO:0005975, GO:0016301, GO:0004856, GO:0005829, GO:0005997, GO:0016310, GO:0042732, GO:0003824, GO:0005575, GO:0003674, GO:0008152, GO:0036094, GO:0016740, GO:0005996, GO:1901363	K00854
LDECv5g00427	Peroxidase; Drosophila melanogaster	peroxinectin_like|Peroxidase, isoform B|Animal haem peroxidase|Haem peroxidase, animal-type|Heme-dependent peroxidases|Haem peroxidase superfamily|Animal haem peroxidase signature|Haem peroxidase, animal-type|Animal heme peroxidase superfamily profile.|Haem peroxidase, animal-type|Haem peroxidase domain superfamily, animal type	GO:0004601, GO:0006979, GO:0020037, GO:0005488, GO:0008150, GO:0003824, GO:0043169, GO:0005575, GO:0043167, GO:0003674, GO:0008152, GO:0046872, GO:0050896, GO:0002376, GO:0044238	K19511
LDECv5g00428	Beta-galactosidase-1-like protein 2; Homo sapiens	Glycosidases|Glycosyl hydrolase family 35 signature|Glycoside hydrolase, family 35|Glycosyl hydrolases family 35|Glycoside hydrolase 35, catalytic domain|Beta-galactosidase, galactose-binding domain|Galactose-binding domain-like|Galactose-binding-like domain superfamily|Glycosyl hydrolases family 35 putative active site.|Glycoside hydrolase, family 35, conserved site|B-gal|Beta-galactosidase 1-like|(Trans)glycosidases|Glycoside hydrolase superfamily|Beta-galactosidase|Beta-galactosidase, first all-beta domain|Beta-galactosidase 1-like , first all-beta domain	GO:0004553, GO:0005975, GO:0004565, GO:0005488, GO:0008150, GO:0003824, GO:0016798, GO:0008152, GO:0003674, GO:0016787, GO:0044238, GO:0005575, GO:0043169, GO:0043167	K25543
LDECv5g00429	NA	Protein of unknown function (DUF1759)|Domain of unknown function DUF1759	GO:0005575, GO:0071014, GO:0008150, GO:0043227, GO:0090304	NA
LDECv5g00430	NA	NA	GO:0008150, GO:0005575, GO:0043226, GO:0065007, GO:0050789	NA
LDECv5g00431	Beta-galactosidase-1-like protein 3; Homo sapiens	Beta-galactosidase, galactose-binding domain|Galactose-binding domain-like|Galactose-binding-like domain superfamily|Beta-galactosidase|Glycosyl hydrolase family 35 signature|Glycoside hydrolase, family 35|Glycosidases|(Trans)glycosidases|Glycoside hydrolase superfamily|B-gal|Beta-galactosidase 1-like|Glycosyl hydrolases family 35|Glycoside hydrolase 35, catalytic domain|Glycosyl hydrolases family 35 putative active site.|Glycoside hydrolase, family 35, conserved site|Beta-galactosidase, first all-beta domain|Beta-galactosidase 1-like , first all-beta domain	GO:0004553, GO:0005975, GO:0004565, GO:0008150, GO:0003824, GO:0005575, GO:0016787, GO:0016798, GO:0008152, GO:0003674, GO:0044238, GO:0015925	K25543
LDECv5g00432	Beta-galactosidase-1-like protein 3; Homo sapiens	Beta-galactosidase|Glycosyl hydrolases family 35|Glycoside hydrolase 35, catalytic domain|B-gal|Beta-galactosidase 1-like|Beta-galactosidase, first all-beta domain|Beta-galactosidase 1-like , first all-beta domain|Beta-galactosidase, galactose-binding domain|Glycosyl hydrolase family 35 signature|Glycoside hydrolase, family 35|Galactose-binding domain-like|Galactose-binding-like domain superfamily|(Trans)glycosidases|Glycoside hydrolase superfamily|Glycosidases	GO:0004565, GO:0004553, GO:0005975, GO:0008150, GO:0003824, GO:0005575, GO:0016787, GO:0016798, GO:0008152, GO:0003674	K25543
LDECv5g00433	NA	NA	GO:0016043, GO:0071840, GO:0005575, GO:0043226, GO:0008150, GO:0022607, GO:0009987	NA
LDECv5g00434	Iron-sulfur cluster assembly 1 homolog, mitochondrial; Drosophila melanogaster	iron-sulfur cluster assembly accessory protein|FeS A-type assembly protein ATAP|HesB-like domain|HesB-like domain superfamily|Iron-binding protein IscA|HesB-like domain superfamily|Iron-sulphur cluster biosynthesis|Core domain, A-type assembly protein ATAP|Hypothetical hesB/yadR/yfhF family signature.|FeS cluster insertion, C-terminal, conserved site	GO:0016226, GO:0051536, GO:0005737, GO:0005739, GO:0051537, GO:0005488, GO:0008150, GO:0009058, GO:0043169, GO:0022607, GO:0016043, GO:0071840, GO:0009987, GO:0005575, GO:0043231, GO:0043229, GO:0043167, GO:0043170, GO:0043227, GO:0008152, GO:0051540, GO:0046872, GO:0031163, GO:0003674, GO:0043226, GO:0044238, GO:0051604, GO:0019538, GO:0005198, GO:0006790, GO:0032501	K22063
LDECv5g00435	MOB kinase activator-like 1; Drosophila melanogaster	Mob1_phocein_2|MOB kinase activator family|Mob1/phocein family|MOB kinase activator family|MOB kinase activator 1A|MOB kinase activator|MOB kinase activator superfamily|Mob1/phocein|MOB kinase activator superfamily	GO:0005488, GO:0008150, GO:0009987, GO:0005575, GO:0043229, GO:0043167, GO:0043227, GO:0003674, GO:0043226, GO:0050794, GO:0007165, GO:0005634, GO:0050789, GO:0051174, GO:0031952, GO:0035329, GO:0035556, GO:0043231, GO:0043232, GO:0043228, GO:0048856, GO:0019209, GO:0008283, GO:0043169, GO:0005829, GO:0005515, GO:0051246, GO:0065007, GO:0042325, GO:0019899, GO:0019900, GO:0046872, GO:0031982, GO:0031399	K06685
LDECv5g00436	Splicing factor 1; Homo sapiens	K Homology domain, type 1|K Homology domain, type 1 superfamily|splicing factor 1|Putative splicing factor 1|KH-I_SF1|Splicing factor 1 helix-hairpin domain|Splicing factor 1, helix-hairpin domain|Retrovirus zinc finger-like domains|Zinc finger, CCHC-type superfamily|kh_6|K Homology domain|Eukaryotic type KH-domain (KH-domain type I)|K Homology domain, type 1 superfamily|KHDC4/BBP-like, KH-domain type I|c2hcfinal6|Zinc finger, CCHC-type|Zinc finger CCHC-type profile.|Zinc finger, CCHC-type|Type-1 KH domain profile.|Zinc knuckle|Zinc finger, CCHC-type|Splicing factor 1, helix-hairpin domain superfamily	GO:0003723, GO:0003676, GO:0008270, GO:0003729, GO:0005634, GO:0048024, GO:0016070, GO:0006396, GO:0008380, GO:0000375, GO:0000377, GO:0005488, GO:0008150, GO:0043169, GO:0009987, GO:0005575, GO:1901363, GO:0016071, GO:0006397, GO:0000398, GO:0043170, GO:0008152, GO:0046872, GO:0003674, GO:0090304, GO:0006139, GO:0036002, GO:0044238, GO:0005681, GO:0045131, GO:0032991, GO:0048518, GO:0048522, GO:1902494, GO:0000243, GO:1990904, GO:0043226, GO:0050794, GO:0043227, GO:0050789	K13095
LDECv5g00437	Lon protease homolog, mitochondrial; Drosophila melanogaster	RecA-like_Lon|Lon protease homolog, mitochondrial|Lon protease AAA+ ATPase lid domain|Lon protease, AAA+ ATPase lid domain|Ribosomal protein S5 domain 2-like|Ribosomal protein uS5 domain 2-type superfamily|AAA_5|AAA+ ATPase domain|P-loop containing nucleoside triphosphate hydrolases|P-loop containing nucleoside triphosphate hydrolase|PUA domain-like|PUA-like superfamily|Lon proteolytic domain profile.|Peptidase S16, Lon proteolytic domain|P-loop containing nucleoside triphosphate hydrolase|Endopeptidase La (Lon) serine protease (S16) signature|ATP-dependent serine proteases, lon family, serine active site.|Peptidase S16, active site|ATP-dependent protease La (LON) substrate-binding domain|Lon protease, N-terminal domain|Lon protease, N-terminal domain superfamily|Lon protease (S16) C-terminal proteolytic domain|Peptidase S16, Lon proteolytic domain|Small ribosomal subunit protein uS5 domain 2-type fold, subgroup|endopeptidase La|Lon protease, bacterial/eukaryotic-type|Lon_proteas|Lon protease, bacterial/eukaryotic-type|lon_5|Lon protease, N-terminal domain|ATPase family associated with various cellular activities (AAA)|ATPase, AAA-type, core|Lon N-terminal domain profile.|Lon protease, N-terminal domain|Lon protease homolog|Lon protease homolog, mitochondrial [LONP1].|Lon protease homologue, chloroplastic/mitochondrial	GO:0004176, GO:0004252, GO:0006508, GO:0005524, GO:0016887, GO:0003697, GO:0005759, GO:0006515, GO:0007005, GO:0030163, GO:0051131, GO:0043531, GO:0003677, GO:0030554, GO:0032559, GO:0043168, GO:0005488, GO:0008150, GO:0097367, GO:0009056, GO:0003824, GO:0140096, GO:0022607, GO:0016043, GO:0071840, GO:0009987, GO:0070887, GO:0034599, GO:0051716, GO:0033554, GO:0005575, GO:0004175, GO:1901363, GO:0016787, GO:0016817, GO:0016818, GO:0016825, GO:0043231, GO:0043229, GO:0070013, GO:0043167, GO:0009057, GO:0043170, GO:0043227, GO:0031974, GO:0008152, GO:0005739, GO:0043632, GO:0019941, GO:0003674, GO:0003676, GO:1901265, GO:0017111, GO:0000166, GO:0043226, GO:0043233, GO:0006996, GO:0070407, GO:0008233, GO:0044238, GO:0019538, GO:0065003, GO:0043933, GO:0017076, GO:0035639, GO:0032555, GO:0016462, GO:0042221, GO:0006979, GO:0050896, GO:0006950, GO:0032553, GO:0043565, GO:0017171, GO:0008236, GO:0036094, GO:0070182, GO:0042645, GO:0001067, GO:0051880, GO:0005515, GO:0032502	K08675
